scorer,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90
bodyparts,point_1,point_1,point_1,point_2,point_2,point_2,point_3,point_3,point_3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
172,787.23627,577.665,0.8765794,809.49304,550.7096,0.9438183,762.6639,469.75745,0.8483492
173,787.21014,577.59045,0.8703031,809.3969,550.48596,0.945102,762.56366,469.72705,0.8487516
174,787.31464,577.7961,0.88006896,808.94574,550.2938,0.9553084,761.02216,469.35812,0.8429764
175,787.42,577.7261,0.8886959,809.0544,550.5924,0.9593466,760.64606,470.119,0.8693926
176,787.0868,577.6298,0.8791367,809.00415,550.87573,0.9574178,761.6479,470.70627,0.8893573
177,787.3254,577.93475,0.8781671,809.0263,550.3927,0.9613093,763.331,470.71686,0.8167765
178,787.5018,577.9646,0.8970009,809.1392,550.7202,0.93841183,763.571,471.11658,0.8595729
179,787.2231,577.63654,0.87560815,808.8642,550.2659,0.95068413,764.1684,470.53796,0.84630424
180,787.1045,577.5611,0.85969526,809.41815,550.499,0.905417,763.42664,469.55865,0.86196315
181,787.00696,577.0041,0.88444394,809.3909,551.2473,0.9178743,762.7595,467.7278,0.8725376
182,787.06903,576.9611,0.8797553,809.2958,550.87726,0.90977263,762.0337,467.69537,0.86743677
183,787.1845,577.03345,0.8940352,809.21906,551.42035,0.90190774,762.3115,467.80582,0.8523658
184,787.20026,576.2598,0.851994,809.4336,550.8761,0.9146869,762.1899,467.72986,0.83945
185,787.1108,577.01575,0.8681653,809.3527,550.7633,0.93060225,761.4143,467.42776,0.825199
186,786.8065,576.8488,0.843876,808.90063,550.4132,0.9449149,759.4153,466.9321,0.8214304
187,787.2808,577.0032,0.84030193,808.6657,550.50836,0.94815046,758.29944,467.24728,0.821731
188,786.8809,577.03125,0.8337788,808.4078,550.56744,0.9636793,756.0697,467.73926,0.69131005
189,786.8473,576.583,0.8596769,808.4373,550.88385,0.9586583,755.9625,468.26575,0.76890785
190,786.8483,575.7964,0.8501299,808.78326,550.7801,0.94795394,756.54346,468.16672,0.8749382
